Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Source,EID
"Tydecks J.","The lost thing: Moving media language from a picture book to a short film",2013,"Journal of Educational Media, Memory, and Society","5","2",,"45","60",,1,10.3167/jemms.2013.050204,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889644091&doi=10.3167%2fjemms.2013.050204&partnerID=40&md5=84b8a69c8921a28a7f6a812b3e1c4859","The transformation of a picture book into a film is a special case of film adaptation because this process involves inherently intermedial qualities. In media literacy terms, when viewers look at a picture book that has been made into a film, they familiarize themselves with the story's imagery and plot, which makes it easier for them to comprehend the techniques employed by the film to create meaning. The Oscar-winning short film The Lost Thing is exemplary of this, as it narrates the same story as the original picture book, dealing with social as well as existential issues. This comparative analysis focuses on the two di erent narrations of this story with regard to the literacy skills required to comprehend them. © GEI.",Article,Scopus,2-s2.0-84889644091
"Barbot B., Randi J., Tan M., Levenson C., Friedlaender L., Grigorenko E.L.","From perception to creative writing: A multi-method pilot study of a visual literacy instructional approach",2013,"Learning and Individual Differences","28",,,"167","176",,7,10.1016/j.lindif.2012.09.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890205682&doi=10.1016%2fj.lindif.2012.09.003&partnerID=40&md5=dc8888d9fda665494442218704232375","Visual literacy is the set of skills used to ascertain meaning in visual stimuli (e.g., visual art, pictures, or abstract representations). We present a new visual-literacy based instructional approach-and its underlying theoretical model-in which museum educators introduced children and their teachers to works of art in a museum setting, then guided teachers to bring visual images and art objects into the classroom to present children with new visual experiences, increase their visual and verbal skills, and, ultimately, promote their development as writers. A set of three multi-method exploratory studies is then presented to examine key aspects of the instructional program: (a) observations of children's verbalizations in a group discussion of a work of art before and during exposure to the program; (b) examination of story-writing skill development in a pre-posttest control-study design; and (c) retrospective interview analysis, tracing the underlying thinking processes engaged during a visual-literacy based writing activity. Although the new instructional approach presented here is still under development, preliminary results show promise that visual-literacy practices may facilitate children's development of writing skills with regard to vocabulary, narrative structure and originality, through a better sense of observation and increased inferential thinking. © 2012 Elsevier Inc.",Article,Scopus,2-s2.0-84890205682
"Ursyn A.","Perceptions of knowledge visualization: Explaining concepts through meaningful images",2013,"Perceptions of Knowledge Visualization: Explaining Concepts through Meaningful Images",,,,"1","390",,3,10.4018/978-1-4666-4703-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944723831&doi=10.4018%2f978-1-4666-4703-9&partnerID=40&md5=521c097447207479cfe4632232b0174c","Multisensory perception is emerging as an important factor in shaping current lifestyles. Therefore, computer scientists, engineers, and technology experts are acknowledging the comparative power existing beyond visual explanations. Perceptions of Knowledge Visualization: Explaining Concepts through Meaningful Images discusses issues related to visualization of scientific concepts, picturing processes and products, as well as the role of computing in the advancement of visual literacy skills. By connecting theory with practice, this book gives researchers, computer scientists, and academics an active experience which enhances the perception and the role of computer graphics. © 2014 by IGI Global. All rights reserved.",Book,Scopus,2-s2.0-84944723831
"Papadopoulou A.","Art and technology: Visual literacy as an effective way of manipulating the environment",2013,"Mediterranean Journal of Social Sciences","4","11",,"50","57",,,10.5901/mjss.2013.v4n11p50,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892525371&doi=10.5901%2fmjss.2013.v4n11p50&partnerID=40&md5=79e8d302fa45df0f365884a5f32c78a5","'Technology' derives from the Greek word 'Τεχνη'= techni (=art). The term 'technology' could be perceived as a means of control and imposition of man on his natural environment. Moreover, because of technological changes and the success of new products, the processes which reduce the feeling of uncertainty are strengthened. However, human standards secede from man and the equation of living organisms, human societies, systems, concepts is not slow to cast doubt upon the cybernetic control models which manipulate these equations and their natural surroundings. At a time when limits, symbols, associations, experiences no longer stand and the new postmodern world is made up of simulations that are not based on 'reality', visual learning sets constants, since it allows an insight in the perceptual relations of the surrounding forms and the internal structures. According to contemporary neurobiological findings, our everyday life is filled with secondary references to phenomena, while the brain is programmed to process authentic sensory data and compare causalities. In a pixel world, the distinct convention between perceptor and stimulus, signifier and signified does not exist. Art functions in an abstract way, not additionally. The structures of the work of art inform per se and not inductively. Therefore, the way of perception, analysis and use of image is based on a non-verbal neuronal organization.",Article,Scopus,2-s2.0-84892525371
"Chiang S.-B., Sun C.-W.","The effect of learning background and imagery cognitive development on visual perception",2013,"Educational Media International","50","3",,"206","224",,,10.1080/09523987.2013.836369,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885909079&doi=10.1080%2f09523987.2013.836369&partnerID=40&md5=fc8991973d4fe9865ec0aa137fa39e9f","This research looked into the effect of how cognitive development toward imagery is formed through visual perception by means of a quantitative questionnaire. The main variable was the difference between the learning backgrounds of the interviewees. A two-way ANOVA mixed design was the statistical method used for the analysis of the 2 × 4 (2 by 4) study design. The analysis on the main effect was conducted, and a significant difference was also shown in the result. First, the two variables of student learning background and imagery cognitive development interact with one another. Second, there is a significant difference in students' learning backgrounds. The cognitive level between the two was visibly apparent. Last, the four aspects that made up the visual perception all showed significant difference. Therefore, cognitive development will be affected by lifestyle, personal preferences, interests, and biological conditions which will have different levels of influence on visual perception. © 2013 © 2013 International Council for Educational Media.",Article,Scopus,2-s2.0-84885909079
"Bueno J., Guimarães C., De Mendonça A.L.A., García L.S., Massayuki Suguimoto R.","Visual perception of deaf children to inform interaction of tools for literacy",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8010 LNCS","PART 2",,"565","574",,,10.1007/978-3-642-39191-0_61,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880712114&doi=10.1007%2f978-3-642-39191-0_61&partnerID=40&md5=420645e83ce8543e24fd00c7b6776995","The Deaf community has its own culture, a term applied to the social movement that holds Deafness to be a difference in human experience, rather than a disability. The disability view of Deafness has deprived the Deaf of natural language acquisition, which is crucial for intellectual development. Human-Computer Interaction should be held accountable to better understand the needs of the Deaf community to inform design. There is a lack of tools for visual literacy of the Deaf (i.e. a learning process for teaching to read based on image interpretations). This research proposes an online environment that educators and designers could use to evaluate visual characteristics of the Deaf. The environment contains four tests designed to assess visual perception and subjective preference. The case study within a classroom context validated the environment. Designers could use the results of their testing to inform design. © 2013 Springer-Verlag Berlin Heidelberg.",Conference Paper,Scopus,2-s2.0-84880712114
"Pantaleo S.","Matters of design and visual literacy: One middle years student's multimodal artifact",2013,"Journal of Research in Childhood Education","27","3",,"351","376",,2,10.1080/02568543.2013.796334,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879634383&doi=10.1080%2f02568543.2013.796334&partnerID=40&md5=81514cb8894be334bb5acea47d242b6c","Meanings are created, represented, and communicated in multimodal ways in our contemporary world. The dominance of the visual in modern society requires students to be visually literate to understand, appreciate, interpret, and compose the content and the design of multimodal texts that include images. This article features the case study of Jaelyn, a Grade 6 student who participated in a classroom-based research project that explored developing student visual meaning-making skills and competencies by focusing specifically on a selection of visual elements of art and design in picturebooks and graphic novels. The semiotic analysis of Jaelyn's multimodal print text that was completed at the end of the research, as well as excerpts from her interview about her composition, revealed how her participation in the learning opportunities afforded during the explorative study influenced her sign-making. The article concludes with a discussion of pedagogical and assessment issues associated with teaching students about visual elements of art and design. © 2013 Copyright Association for Childhood Education International.",Article,Scopus,2-s2.0-84879634383
"Kuby C.R.","Evoking emotions and unpacking layered histories through young children's illustrations of racial bus segregation",2013,"Journal of Early Childhood Literacy","13","2",,"271","300",,2,10.1177/1468798411433364,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878192963&doi=10.1177%2f1468798411433364&partnerID=40&md5=118677cf7b3d14ddaceaad088de969dd","Drawing on theories of multi-modality and critical visual literacy, this article focuses on images that five-and six year-olds painted in a class-made book, Voice on the Bus, about racial segregation. The article discusses how children used illustrations to convey their understandings of Rosa Parks' bus arrest in Alabama. A post-structural view focusing on images that five- and six year-olds painted in a class-made book, Voices on the Bus, about racial segregation, the article discusses how children used illustrations to convey their understanding of Rosa Parks' bus arrest in Alabama. A post-structural (Kind, 2010) idea of art as an encounter, not as a fixed representation, shaped how the images were experienced for analysis. Using the notion of synaesthesia (the joining of senses), paintings were analysed for evoked emotions and blended sensations (Berman, 1999; Boston, 2001). Additional analysis focused on sedimented meanings (Rowsell and Pahl, 2007), looking for traces from curricular conversations and local/global D/discourses about segregation, schooling experiences and religious undertones (Gee, 1996). The following analytical questions are discussed: In what ways does this illustration evoke a synaesthetic response? How is this image agentic? What are the sedimented meanings from the images? Insights gained are that children can create synaesthetic images to evoke emotions; educators can find traces of sedimented histories in student-made artefacts; and perhaps social action is embodied and expressed through art. Researchers are encouraged to continue using a hybrid of literacy theories and tools for multi-modal analysis. © The Author(s) 2012 Reprints and permissions: sagepub.co.uk/journalsPermissions.nav.",Article,Scopus,2-s2.0-84878192963
"Tomcsányiová M., Kabátová M.","Categorization of pictures in tasks of the Bebras contest",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","7780 LNCS",,,"184","195",,4,10.1007/978-3-642-36617-8_16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874870311&doi=10.1007%2f978-3-642-36617-8_16&partnerID=40&md5=99938ffffb41529434304becd147cd44","This paper deals with the importance and meaning of pictures in a process of learning and specifically deals with the use of images in contest tasks. We examined a large database of such tasks and we provide a variety of examples of contest tasks taking into account the ways of using pictures as visual cues in them. Our goal is to categorize the task-pictures according to their use, content and type. We focus on pictures that are directly related to informatics concepts (e.g., algorithms, data structures). Our categorization of pictures will help us better understand the meaning and nature of the pictures. We will be more knowledgeable when deciding how important a picture is for a specific task and how it relates to the text of the task. © 2013 Springer-Verlag.",Conference Paper,Scopus,2-s2.0-84874870311
"Gelfand J., Lin A.","Research life cycle: Exploring credibility of metrics and value in a new era of escholarship that supports grey literature",2013,"GL-Conference Series: Conference Proceedings",,,,"123","134",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924135181&partnerID=40&md5=be501ab5612d43cb2defeec0642a2ac8","The fundamental components of the research process are defined by academic tradition, discipline and its participants. Traditional scholarship has now evolved into eScholarship with emerging technologies providing new methods of innovation and new ways of handling classical research processes. This revised research life cycle not only incorporates the established parts of the research chain, from discovery, gathering, and creating, but now has added phases of citing, sharing, preserving and archiving. There are quantifiable elements that help describe unique elements depending on sector and subject matter and format. Previously defined barriers such as geographical, institutional, digital and domain boundaries that had earlier existed can now be transcended to either accelerate or retard the research lifecycle in amazing and innovative ways. This new paradigm shift of current practices or activities today include the range of literacies that must be demonstrated and include information literacy, visual literacy, financial literacy, and increasingly data literacy. The role of the academic library has become increasingly visible as scholars and scientists seek support in managing their research lifecycle components. Librarians are now managers and curators of the scholarly research lifecycle by protecting, harvesting, and promoting reuse of content for new and unprecedented purposes. In a similar fashion, Grey Literature has previously followed the lifespan of more traditional output. Now new technologies exist to extract value metrics that compare favorably with other information products. This paper will explore how Grey Literature matures through different pathways or life cycles as the new grey becomes less grey with metrics of increasing value to support and describe it. Also, the world of publishing has become increasingly accessible to a new population of scholars to release new information and ideas, contribute to emerging fields and frontiers without the barriers or requirements of following a specific trajectory of traditional publication processes. Examples will be shared about how the research life cycle has evolved with new tools to support Grey Literature from the life cycle management (LCM) and life cycle assessment (LCA) models to determine impacts and drive future directions concerning options for actions like open access, intellectual property and other forms of rights management.",Conference Paper,Scopus,2-s2.0-84924135181
"Hattwig D., Bussert K., Medaille A., Burgess J.","Visual literacy standards in higher education: New opportunities for libraries and student learning",2013,"Portal","13","1",,"61","89",,16,10.1353/pla.2013.0008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873951073&doi=10.1353%2fpla.2013.0008&partnerID=40&md5=d0ace50d19e1fcaf4be7946b56dbd9ac","Visual literacy is essential for 21st century learners. Across the higher education curriculum, students are being asked to use and produce images and visual media in their academic work, and they must be prepared to do so. The Association of College and Research Libraries has published the Visual Literacy Competency Standards for Higher Education, which, for the first time, outline specific visual literacy learning outcomes. These Standards present new opportunities for libraries to expand their role in student learning through standards-based teaching and assessment, and to contribute to campus-wide collaborative efforts to develop students' skills and critical thinking with regard to visual materials. © 2013 by The Johns Hopkins University Press.",Article,Scopus,2-s2.0-84873951073
"Dalton B., Grisham D.L.","Love that book: Multimodal response to literature",2013,"Reading Teacher","67","3",,"220","225",,2,10.1002/TRTR.1206,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898623642&doi=10.1002%2fTRTR.1206&partnerID=40&md5=8ca9ab20168440d510fb3e34e1b0cc9e","Composing with different modes - image, sound, video and the written word - to respond to and analyze literary and informational text helps students develop as readers and digital communicators. This article showcases five multimodal strategies for engaging children in rich literature-based learning using digital tools and Internet resources. © 2013 International Reading Association.",Article,Scopus,2-s2.0-84898623642
"Fu L.","Indigenizing visualized knowledge: Translating Western science illustrations in China, 1870-1910",2013,"Translation Studies","6","1",,"78","102",,1,10.1080/14781700.2012.724784,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870920771&doi=10.1080%2f14781700.2012.724784&partnerID=40&md5=5edae14ecbff2655ae88cc166cb89065","This article discusses how the translation of science illustrations operated interculturally in late nineteenth-and early twentieth-century China. I examine three categories of translated images: those with transformation in core information, those with alterations in peripheral information and those without any changes. In order to understand the differences between Western images and their Chinese translations, I analyze the nature of science illustrations, the problem of visual literacy and the goals of the translators involved. I contend that illustrators' personal understanding of science and artistic training played a significant role in adapting Western images to Chinese visual conventions and thus potentially aiding Chinese readers' access to Western science. Examining the different divisions of labor required by different printing techniques, I argue that even in the face of electrotypography's challenge to human intervention, translators still made some aesthetic choices and balanced them with practical needs. © 2013 Taylor & Francis Group, LLC.",Article,Scopus,2-s2.0-84870920771
"McLeod G.","In the wake of SNS Challenger: Rephotographing collectively online with informal learners",2012,"Art, Design and Communication in Higher Education","11","2",,"177","197",,1,10.1386/adch.11.2.177_1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890423735&doi=10.1386%2fadch.11.2.177_1&partnerID=40&md5=02f7e431f32dff36a4b92998bfce6bcf","This article addresses the growing practice of 'rephotography' and the medium of social network sites in relation to developing visual literacy and digital skills within informal learning. Drawing upon ongoing research, this article examines contributions made to a bespoke social network site by participants involved in a global project that aims to identify and photograph again locations once photographed during the voyage of the British scientific survey ship HMS Challenger (1872-1876). With a focus on the rephotographic process, the article discusses contributions made to the project by three participants in Gibraltar, Cape Town and Manila. Upon reflection of their contributions, the combination of rephotography and a dedicated social network site is put forward as a potential visual methodology for the development of visual literacy and digital skills of twenty-first century informal learners. © 2012 Intellect Ltd Article.",Article,Scopus,2-s2.0-84890423735
"Messaris P.","Visual ""Literacy"" in the digital age",2012,"Review of Communication","12","2",,"101","117",,4,10.1080/15358593.2011.653508,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874261836&doi=10.1080%2f15358593.2011.653508&partnerID=40&md5=0d209dafac2ebbb3503e82ead65d29fa","This essay is a reflection on the ways in which visual media have evolved since the 1994 publication of the author's book Visual ""Literacy"": Image, Mind, and Reality. The essay focuses on two major technological changes in visual media, and on the cultural transformations that have accompanied those changes. The first technological change is the development of increasingly powerful techniques for the digital manipulation of photographs and the creation of computer-generated photorealistic images. Reviewing this development, which has made the task of detecting visual fraud more challenging, the essay assesses the likelihood that it may also have brought about an enhancement in societal levels of visual ""literacy."" Such an enhancement may also be a by-product of the second technological change discussed in this essay, namely, the increasing availability of digital networks for the dissemination of images and for public commentary about those images. The essay examines the use of such commentary for questioning the authenticity of visual advocacy and for exposing digital fraud. © 2012 National Communication Association.",Article,Scopus,2-s2.0-84874261836
"Rappaport J., Cummins T.","Beyond the lettered city: Indigenous Literacies in the Andes",2012,"Beyond the Lettered City: Indigenous Literacies in the Andes",,,,"1","370",,38,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905792812&partnerID=40&md5=da58defb78b24ce2bd5e219cc3a40a57","In Beyond the Lettered City, the anthropologist Joanne Rappaport and the art historian Tom Cummins examine the colonial imposition of alphabetic and visual literacy on indigenous groups in the northern Andes. They consider how the Andean peoples received, maintained, and subverted the conventions of Spanish literacy, often combining them with their own traditions. Indigenous Andean communities neither used narrative pictorial representation nor had alphabetic or hieroglyphic literacy before the arrival of the Spaniards. To absorb the conventions of Spanish literacy, they had to engage with European symbolic systems. Doing so altered their worldviews and everyday lives, making alphabetic and visual literacy prime tools of colonial domination. Rappaport and Cummins advocate a broad understanding of literacy, including not only reading and writing, but also interpretations of the spoken word, paintings, wax seals, gestures, and urban design. By analyzing secular and religious notarial manuals and dictionaries, urban architecture, religious images, catechisms and sermons, and the vast corpus of administrative documents produced by the colonial authorities and indigenous scribes, they expand Ángel Rama's concept of the lettered city to encompass many of those who previously would have been considered the least literate. © 2012 Duke University Press. All rights reserved.",Book,Scopus,2-s2.0-84905792812
"Ursyn A.","Biologically-inspired computing for the arts: Scientific data through graphics",2012,"Biologically-Inspired Computing for the Arts: Scientific Data through Graphics",,,,"1","417",,4,10.4018/978-1-4666-0942-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898573581&doi=10.4018%2f978-1-4666-0942-6&partnerID=40&md5=a4a2e27002d4050ae150fc813c159ecd","Images support connections between biology, engineering, and material sciences resulting in a growing partnership among academia, laboratories, and industry. Scientists focus on biology-inspired research to understand how biological systems work, and then create systems and materials that would have efficiency and precision of living structures. The Art-Science connection has become one of prominent trends exemplified by themes presented in journals, conferences, and books. Biologically-Inspired Computing for the Arts: Scientific Data through Graphics comprises a collection of authors' individual approaches to the relationship between nature, science, and art created with the use of computers. Themes discussed in the book relate to the use of visual language in communication about biologically-inspired scientific data, visual literacy in science, and application of practitioner's approach. This comprehensive reference will assist programmers, scientists, engineers, computer science and science-oriented students in creating and effectively communicating their projects using science-related knowledge. © 2012 by IGI Global. All rights reserved.",Book,Scopus,2-s2.0-84898573581
"Lin H.-C., Chou W.-H.","Young children's reading of visual elements in wordless picture books",2012,"Contemporary Educational Research Quarterly","20","3",,"1","37",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869436492&partnerID=40&md5=f28f195702d86a21497dd6f0d6ea1930","Visual messages are the dominant form of communication today, and the meaning of literacy has been broadened to include the language of images and other modes. Yet, in most early childhood education settings in Taiwan, the emphasis of literacy education is still on the reading and writing of words. This study aimed to fill this gap by investigating how Taiwanese young children observe and interpret images in wordless picture books, and compared the findings to studies done in the West. Eight 6-year-old children read three wordless picture books-Wolf, Rainstorm and The Grey Lady and the Strawberry Snatcher-with the investigator individually. They read the pictures and told the stories in their own words, followed by interviews which asked about their interpretation of the pictorial elements in the books. The children also drew pictures of the things that impressed them the most from the books, and this activity was followed by interviews with the researcher about the drawings. The findings showed that young children's reading experiences played an important role in how they read the peritextual features of picture books. Young children observed more than ten different kinds of visual elements in the wordless books. Both the stories they told and their drawings showed how they perceived the visual elements and pictorial compositions in the books. Moreover, the children made sense of the wordless books by constructing a coherent plot, and they had diverse interpretations towards certain elements in the books.",Article,Scopus,2-s2.0-84869436492
"Edwards J.L.","Visual literacy and visual politics: Photojournalism and the 2004 presidential debates",2012,"Communication Quarterly","60","5",,"681","697",,4,10.1080/01463373.2012.725000,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868317496&doi=10.1080%2f01463373.2012.725000&partnerID=40&md5=62b998b2aec57d39d35a2aac11b7f9ed","While newspapers use conventional images to accompany reporting on presidential debates, the rhetorical aspect of these images is illustrated through an examination of the 2004 debates. In this essay, the author first establishes oppositional positioning and mirroring as visual literacy conventions that augment those previously identified by Paul Messaris in his examination of advertising images. Second, a critical analysis of the photographs depicting the first 2004 debate, in particular, demonstrates how photo editors deployed visual conventions that either intensified clash or neutralized candidate performance fragments to produce a false symmetry despite a discordant reality. In subsequent debates, however, many editors employed alternate visual conventions that provided an improved visual balance between fairness and accuracy. © 2012 Eastern Communication Association.",Article,Scopus,2-s2.0-84868317496
"McNamara A., Booth T., Sridharan S., Caffey S., Grimm C., Bailey R.","Directing gaze in narrative art",2012,"Proceedings, SAP 2012 - ACM Symposium on Applied Perception",,,,"63","70",,8,10.1145/2338676.2338689,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865563552&doi=10.1145%2f2338676.2338689&partnerID=40&md5=32a55f261d5f59a8f5bb13ee649553e0","Narrative art tells a story, either as a moment in an ongoing story or as a sequence of events unfolding over time. In many works of art separate panels within the same frame are used to depict the sequence of events. Often, there is no clear delineation between these panels, or any indication of the optimal viewing order. To improve visual literacy we propose using Subtle Gaze Direction (SGD) to direct the viewers gaze across an image in a manner which reveals the story. SGD uses small image space modulations in the luminance channel to guide a viewer's gaze about an image without disrupting their normal visual experience. Using a simple ordering task we compared performance using no modulation and using subtle modulation with the correct order of narrative episodes as intended by the artist. Results from experiments show improved performance when SGD is employed. This experiment establishes the potential of the method as an aid to visual navigation in images where the viewing order is unclear. © 2012 ACM.",Conference Paper,Scopus,2-s2.0-84865563552
"Blevis E., Churchill E., Odom W., Pierce J., Roedl D., Wakkary R.","Visual thinking & digital imagery",2012,"Conference on Human Factors in Computing Systems - Proceedings",,,,"2715","2718",,8,10.1145/2212776.2212703,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862644094&doi=10.1145%2f2212776.2212703&partnerID=40&md5=ab09c371219afec0011be530f53889b3","This workshop focuses on exploring the centrality of visual literacy and visual thinking to HCI. Drawing on emerging critical perspectives, the workshop will address visual literacy and visual thinking from an interdisciplinary and transdisciplinary design-orientation [2, 8], foregrounding the notion that imagery is a primary form of visual thinking. Imagery - which subsumes digital imagery - goes well beyond sketching and beyond storyboards, screenshots and wireframes. We will address how a broader framework for visual thinking and imagery in HCI can play a role in raising the visual standards of HCI research and practice. Workshop participants will investigate possibilities for developing a culture of curatorial gaze in HCI, in order to (i) promote collection of digital images as a method appropriate for a design-oriented discipline, (ii) invite others to contribute to a genre of working and corpus of imagery unique to HCI, and (iii) to expand the approaches that design-oriented HCI may productively and creatively draw upon. © 2012 Authors.",Conference Paper,Scopus,2-s2.0-84862644094
"Britsch S.","Image as language: Teacher-created photographs and visual literacy for English language learning",2012,"Australian Journal of Early Childhood","37","2",,"113","121",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878417201&partnerID=40&md5=7de980fa78fec2f3e0173f697557a269","Language is not learned through words alone; images lie at the heart of language development. This article suggests three essential guidelines for teachers as they create and use photographs for content learning, second-language development and image-reading. Each guideline is accompanied by content, visual literacy and language objectives. Photographs and sets of sample-levelled questions exemplify the use of the language objectives for content and visual learning in social studies, geometry or science. In sum, an informed use of visual imagery can enhance the exploration of curriculum content if based on teacher knowledge of content, of the language through which photographs speak, and of the language needed to talk about both content and image.",Article,Scopus,2-s2.0-84878417201
"Zainal Z.I., Deni A.R.M.","Advancing aesthetic literary experience through a multimedia project",2012,"Literary and Linguistic Computing","27","2", fqs009,"215","226",,,10.1093/llc/fqs009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861533717&doi=10.1093%2fllc%2ffqs009&partnerID=40&md5=9d83dfdf968c8a3e0e793f27ec9c0e69","The remarkable advances in the field of ICT have led to the appearance of interesting innovations in literature classrooms, one of which is multimedia. Multimedia has been proven to be a powerful learning tool as it is able to provide extensive learning opportunities, thus breaking away from the traditional and restrictive 'chalk and talk' type of teaching. This study examined the incorporation of an after-reading assignment called 'The Multimedia Project' in a literature classroom. It involved ninety-six students taking English literature courses at the Faculty of Modern Languages and Communication, Universiti Putra Malaysia. Multimedia can be defined in a variety of ways, but for this project multimedia refers to a literary text presentation, primarily made using sound and images. Through this project, the students had opportunities to explore and develop their knowledge and critically analyze the literary texts covered in class. This study relied on two types of analysis: an evaluation of the students' multimedia presentations and a survey of the students' opinions regarding the project. The findings indicate that the multimedia project proved to be effective in advancing students' literary experience and critical appreciation. The students' opinions also confirmed the viability of multimedia as a practical application tool in teaching literature as well as in promoting visual literacy. © The Author 2012. Published by Oxford University Press on behalf of ALLC. All rights reserved.",Article,Scopus,2-s2.0-84861533717
"Driver M.W.","Woodcuts and decorative techniques",2012,"A Companion to the Early Printed Book in Britain 1476-1558",,,,"95","124",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940571806&partnerID=40&md5=331c997db2f0b9b782b57d042fd70268","In his discussion of London, BL Additional, MS 36985, the ‘Founders’ Book' of Tewkesbury Abbey, which was purposely made in the late sixteenth century to look like a printed book and was ‘designed for a readership accustomed to the organization and appearance of printed books rather than manuscripts’, Julian Luxford concludes that ‘logic of organization and appearance made printed books more generally comprehensible than handwritten ones’. Contributing to their clarity of meaning were woodcuts, metal prints and even ornaments, decorations that accompanied printed images. While woodcuts functioned in some cases very like manuscript miniatures, and their purposes were as various, they also expanded visual vocabulary, introducing and labelling texts for a mass-market audience. Further, printing allows an emphasis on visual continuity, which can occur within one book or across collections of books, creating networks of meaning for fledgling readers. As I argue elsewhere, with print the development of visual literacy is connected with rising verbal literacy, while organisation of content is most particularly seen with the introduction of the title page. This survey considers briefly some changes that occurred in illustration from manuscript to print, sources for English woodcuts (mainly French), and the ways in which images were used to introduce and sometimes to link portions of texts or texts together in Sammelbände. While every manuscript miniature is to some extent unique (even when copied from exemplars, sketches or model books), woodcuts were mechanically produced and were not usually in colour unless they had been painted by hand. A few editions printed by William Caxton are adorned with hand-decorated initials and borders. © Contributors 2014. All rights reserved.",Book Chapter,Scopus,2-s2.0-84940571806
"Hecke C.","Graphic novels as a teaching tool in high school and university English as a foreign language (EFL) classrooms",2011,"Amerikastudien","56","4",,"653","668",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868338620&partnerID=40&md5=195b129c1c6d36e17a26e6c9ffaf7609","The didactic potential and pedagogical value of graphic novels have caught the attention of American Studies and EFL teaching methodologists, who have realized that graphic novels can, as teaching and learning tools, foster creative communication and intercultural learning. While such advantages of graphic novels have been highlighted repeatedly, these texts have not yet become an integral part of high school and university curricula. Against the backdrop of these reflections, this essay explains how graphic novels can be used to achieve major institutional objectives of foreign language education, facilitate the teaching of intercultural communicative competence (ICC), and increase reading motivation in EFL classes from grade 7 to grades 12 or 13. Since understanding images is a prerequisite for interpreting graphic novels, this essay further emphasizes the importance of developing students' and future teachers' visual literacy and offers an innovative teaching methodology for courses in the new MA curricula, the 'learning through teaching' approach, according to which students learn matters of relevance-declarative knowledge and procedural skills-by teaching other students.",Article,Scopus,2-s2.0-84868338620
"Bridges L.M., Edmunson-Morton T.","Image-seeking preferences among undergraduate novice researchers",2011,"Evidence Based Library and Information Practice","6","1",,"24","40",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859076166&partnerID=40&md5=b25fd7a85d6cb1ea7bec494acb28b989","Objective: This study investigated the image-seeking preferences of university freshmen to gain a better understanding of how they search for pictures for assignments. Methods: A survey was emailed to a random sample of 1,000 freshmen enrolled at Oregon State University in the fall of 2009. A total of 63 surveys were returned. Results: The majority of students indicated they would use Google to find a picture. Nineteen respondents said they would use a library, librarians, and/or archives. Conclusions: The results indicate the majority of students in our study would use Google to find an image for coursework purposes; yet the students who suggested they would use Google did not mention evaluating the images they might find or have concerns about copyright issues. Undergraduate students would benefit from having visual literacy integrated into standard information literacy instruction to help them locate, evaluate, and legally use the images they find online. In addition, libraries, librarians, archivists, and library computer programmers should work to raise the rankings of library digital photo collections in online search engines like Google. © 2011 Bridges and Edmunson-Morton.",Article,Scopus,2-s2.0-84859076166
